,LifetimeB1,LifetimeB2,ATLASlumi,CMSlumi,IntB1,IntB2,Ene,Betastar_IP1,Betastar_IP5,Xing_IP1,Xing_IP5,BMode
1525598271.785,2.552,6.251,0.002937972,0.000172885,7230000000.0,8450000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598281.785,2.631,6.373,0.002109412,0.0,6980000000.0,8710000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598291.785,2.551,6.571,0.0,0.0,6800000000.0,8720000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598301.785,2.54,6.44,0.002395614,0.0,7570000000.0,8470000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598311.785,2.568,6.004,0.001582272,0.000172885,6830000000.0,8560000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598321.785,2.674,6.603,0.000703973,0.0,7730000000.0,8960000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598331.785,2.685,6.462,0.0,0.0,6890000000.0,8800000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598341.785,2.619,6.443,0.0,0.0,7390000000.0,9290000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598351.785,2.593,6.373,0.0,0.0,7170000000.0,8180000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598361.785,2.713,6.451,0.001215891,0.0,6290000000.0,7910000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598371.785,2.61,5.856,0.001607421,0.0,6970000000.0,8280000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598381.785,2.618,6.121,0.002974654,0.0,6880000000.0,7920000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598391.785,2.638,6.399,0.0,0.0,6350000000.0,8290000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598401.785,2.676,6.41,0.0,0.0,7570000000.0,7980000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598411.785,2.743,6.277,0.0,0.0,6580000000.0,8460000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598421.785,2.756,6.237,0.00273359,0.0,7020000000.0,8250000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598431.785,2.615,6.238,0.000263866,0.0,7170000000.0,7730000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598441.785,2.525,6.429,0.000740111,0.0,7110000000.0,8550000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598451.785,2.758,6.643,0.0,0.0,8610000000.0,8580000000.0,494.0,48.0,45.0,170.0,170.0,2.0
